NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_MEN;POP_WOMEN;POP_TOTAL;REF_DATE
AT2;AT22;AT225;616;Voitsberg;61616;Pack;202;216;418;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61617;Piberegg;186;175;361;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61618;Rosental an der Kainach;839;860;1699;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61619;Salla;138;151;289;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61620;Sankt Johann-Köppling;869;903;1772;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61621;Sankt Martin am Wöllmißberg;420;408;828;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61622;Söding;1081;1090;2171;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61623;Södingberg;432;402;834;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61624;Stallhofen;1566;1593;3159;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61625;Voitsberg;4594;5008;9602;01.01.2012
AT2;AT22;AT224;617;Weiz;61701;Albersdorf-Prebuch;990;998;1988;01.01.2012
AT2;AT22;AT224;617;Weiz;61702;Anger;391;440;831;01.01.2012
AT2;AT22;AT224;617;Weiz;61703;Arzberg;285;268;553;01.01.2012
AT2;AT22;AT224;617;Weiz;61704;Baierdorf bei Anger;840;827;1667;01.01.2012
AT2;AT22;AT224;617;Weiz;61705;Birkfeld;776;839;1615;01.01.2012
AT2;AT22;AT224;617;Weiz;61706;Etzersdorf-Rollsdorf;579;555;1134;01.01.2012
AT2;AT22;AT224;617;Weiz;61707;Feistritz bei Anger;542;531;1073;01.01.2012
AT2;AT22;AT224;617;Weiz;61708;Fischbach;789;775;1564;01.01.2012
AT2;AT22;AT224;617;Weiz;61709;Fladnitz an der Teichalm;589;590;1179;01.01.2012
AT2;AT22;AT224;617;Weiz;61710;Floing;597;604;1201;01.01.2012
