pointid;plz;ort;strasse;zusatztext;gefoerdert_jahr;note1;note2;bundesland;Breitenangabe;Längenangabe
186;3252;Bergland;Landfriedstetten Nr. 3;In Landfriedstetten, neben dem Lindenstadion (Sportplatz);2008;Spielplatz Landfriedstetten;Spielplatz Landfriedstetten,3252, Bergland;N;48,1544;15,1887
77;3253;Erlauf;;;2005;Spielplatz Erlauf;Spielplatz Erlauf,3253, Erlauf;N;48,1812;15,1815
177;3261;Steinakrichen am Forst;Michael-Rab Straße;neben Michael-Rab Straße 22,;2007;Spielplatz Michael-Rab Straße;Spielplatz Seinakirchen am Forst,3261, Steinakirchen am Forst;N;48,0697;15,0445
275;3261;Wolfpassing;zwischen Eisenbahn und Hummelbach;zentral im Dorfgebiet Wolfpassing, neben dem Fußballplatz;2009;Spielplatz Wolfpassing;Spielplatz Wolfpassing,3261 Wolfpassing;N;48,0764;15,0643
123;3270;Neustift bei Scheibbs;Wertheimgasse;;2004;Spielplatz Neustift;Spielplatz Neustift,3270, Neustift bei Scheibbs;N;47,9930;15,1618
178;3293;Lunz am See;St. Johannesstraße, Seepromenade;entlang der Seepromenade, nahe der Kreuzung St. Johannes Straße;2007;Spielplatz Lunz;Spielplatz Lunz,3293, Lunz am See;N;47,8589;15,0258
5;3300;Amstetten;Friedrich Ludwig Jahn Strasse 10;neben Jahnturnhalle;2006;Barrierefreier Spielplatz;Barrierefreier Spielplatz,3300, Amstetten;N;48,1204;14,8684
180;3300;Amstetten;Negrellistraße;am Ende der Negrellistraße, links;2007;Spielplatz Negrellistraße;Spielplatz Amstetten-Negrellistraße,3300, Amstetten;N;48,1178;14,8874
185;3300;Amstetten;Hamarsbergweg;In Ulmerfeld, direkt neben Kindergarten;2008;Spielplatz Heidengarten;Spielplatz Ulmerfeld,3300, Amstetten;N;48,0793;14,8272
181;3311;Zeillern;Ludwigsdorf;in Ludwigsdorf;2007;Spielplatz Ludwigsdorf;Spielplatz Ludwigsdorf,3311, Zeillern;N;48,1195;14,8092
206;3313;Wallsee-Sindelburg;Beim Donaualtarm;Beim Wassersportzentrum Wallsee, zw. Pfadfinder u. Tennisplätzen;2008;Wasiki-Land;Spielplatz Wallsee,3313, Wallsee-Sindelburg;N;48,1695;14,7102
29;3321;Ardagger Markt;;direkt neben der Kirche in Stephanshart;2005;Kinderspielplatz Stephanshart;Kinderspielplatz Stephanshart,3321, Ardagger Markt;N;48,1579;14,8170
257;3321;Ardagger;Ardagger 145;im Komplex der Volks/Hauptschule Ardagger;2009;Schulfreiraum Ardagger;Schulfreiraum Ardagger,3321 Ardagger;N;48,1752;14,8294
136;3322;Seisenegg, Gem. Viehdorf;Meierhof Nr 3;;;Spielplatz Seisenegg;Spielplatz Seisenegg,3322, Seisenegg, Gem. Viehdorf;N;48,1358;14,9222
79;3324;Euratsfeld;Birkenstraße;;2002;Spielplatz Euratsfeld;Spielplatz Euratsfeld,3324, Euratsfeld;N;48,0797;14,9347
42;3331;Kematen an der Ybbs;;im Rückstaubereich des Kraftwerkes Dorfmühle gelegen;2003;Naturspielplatz beim Ybbs-Naturbad Kematen;Naturspielplatz beim Ybbs-Naturbad Kematen,3331, Kematen an der Ybbs;N;48,0495;14,7854
102;3331;Allhartsberg;Markt Nr. 50;direkt neben der Schule;2004;Spielplatz in Allhartsberg;Spielplatz in Allhartsberg,3331, Allhartsberg;N;48,0266;14,7928
95;3340;Waidhofen a.d.Ybbs;Oberer Stadtplatz 28;;;Spielplatz im Naturpark Buchenberg;Spielplatz im Naturpark Buchenberg,3340, Waidhofen a.d.Ybbs;N;47,9614;14,7744
91;3341;Ybbsitz;Hammerschmiedstraße;an der Schmiedemeile;2006;Spielplatz im Dr. Meyer-Park;Spielplatz im Dr. Meyer-Park,3341, Ybbsitz;N;47,9452;14,8971
68;3345;Göstling an der Ybbs;;;2006;Spielplatz beim Flussbad im Park;Spielplatz beim Flussbad im Park,3345, Göstling an der Ybbs;N;47,8106;14,9335
15;3350;Haag;;am Salaberg;;Erlebnisspielplatz im Tierpark Haag;Erlebnisspielplatz im Tierpark Haag,3350, Haag;N;48,0913;14,5692
18;3353;Biberbach;;im Energieforscherdorf Biberbach, Sportzentrum Biberbach;2003;Erlebnis-Waldspielplatz;Erlebnis-Waldspielplatz ,3353, Biberbach;N;48,0351;14,7130
179;3371;St. Martin-Karlsbach;St. Martin;"in der ""Hauptortschaft"" St. Martin, neben dem Weg (Sackgasse) zum Tennisplatz, keine Straßennamen bekannt";2007;Spielplatz St. Martin;Spielplatz St. Martin,3371, St. Martin-Karlsbach;N;48,1638;15,0234
26;3372;Blindenmarkt;;;2006;Erlebnisspielplatz;Erlebnisspielplatz,3372, Blindenmarkt;N;48,1259;14,9895
174;3375;Krummnussbaum;Krummnussbaum;an der Hauptstraße, zw. Wörthweg und  Freizeitzentrum;2007;Spielplatz Krummnussbaum;Spielplatz Krummnussbaum,3375, Krummnussbaum;N;48,2093;15,1667
127;3385;Prinzersdorf;Schubertraße;;2006;Spielplatz Prinzersdorf;Spielplatz Prinzersdorf,3385, Prinzersdorf;N;48,2031;15,5217
140;3390;Melk;Abt Karl-Straße;;2004;Spielplatz Stadtpark;Spielplatz Stadtpark,3390, Melk;N;48,2258;15,3306
119;3392;Dunkelsteinerwald/Mauer;;Süßgraben in Mauer;2006;Spielplatz Mauer;Spielplatz Mauer,3392, Dunkelsteinerwald/Mauer;N;48,2259;15,4125
