NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_AUT_NAT;POP_FOR_NAT;POP_TOTAL;REF_DATE
AT2;AT22;AT223;611;Leoben;61120;Trofaiach;10862;445;11307;01.01.2012
AT2;AT22;AT222;612;Liezen;61201;Admont;2345;180;2525;01.01.2012
AT2;AT22;AT222;612;Liezen;61202;Aich;874;52;926;01.01.2012
AT2;AT22;AT222;612;Liezen;61203;Aigen im Ennstal;2502;68;2570;01.01.2012
AT2;AT22;AT222;612;Liezen;61204;Altaussee;1659;118;1777;01.01.2012
AT2;AT22;AT222;612;Liezen;61205;Altenmarkt bei Sankt Gallen;817;47;864;01.01.2012
AT2;AT22;AT222;612;Liezen;61206;Ardning;1159;26;1185;01.01.2012
AT2;AT22;AT222;612;Liezen;61207;Bad Aussee;4306;576;4882;01.01.2012
AT2;AT22;AT222;612;Liezen;61208;Donnersbach;1074;25;1099;01.01.2012
AT2;AT22;AT222;612;Liezen;61209;Donnersbachwald;320;5;325;01.01.2012
AT2;AT22;AT222;612;Liezen;61210;Gaishorn am See;960;49;1009;01.01.2012
AT2;AT22;AT222;612;Liezen;61211;Gams bei Hieflau;556;13;569;01.01.2012
AT2;AT22;AT222;612;Liezen;61212;Gössenberg;264;11;275;01.01.2012
AT2;AT22;AT222;612;Liezen;61213;Gröbming;2583;257;2840;01.01.2012
AT2;AT22;AT222;612;Liezen;61214;Großsölk;458;29;487;01.01.2012
AT2;AT22;AT222;612;Liezen;61215;Grundlsee;1189;52;1241;01.01.2012
AT2;AT22;AT222;612;Liezen;61216;Hall;1707;37;1744;01.01.2012
AT2;AT22;AT222;612;Liezen;61217;Haus;2274;120;2394;01.01.2012
AT2;AT22;AT222;612;Liezen;61218;Irdning;2643;97;2740;01.01.2012
AT2;AT22;AT222;612;Liezen;61219;Johnsbach;133;7;140;01.01.2012
AT2;AT22;AT222;612;Liezen;61220;Kleinsölk;567;16;583;01.01.2012
AT2;AT22;AT222;612;Liezen;61221;Landl;1233;38;1271;01.01.2012
AT2;AT22;AT222;612;Liezen;61222;Lassing;1640;22;1662;01.01.2012
AT2;AT22;AT222;612;Liezen;61223;Liezen;6017;831;6848;01.01.2012
AT2;AT22;AT222;612;Liezen;61224;Michaelerberg;519;24;543;01.01.2012
AT2;AT22;AT222;612;Liezen;61225;Mitterberg;1104;62;1166;01.01.2012
AT2;AT22;AT222;612;Liezen;61226;Bad Mitterndorf;2718;378;3096;01.01.2012
AT2;AT22;AT222;612;Liezen;61227;Niederöblarn;574;21;595;01.01.2012
AT2;AT22;AT222;612;Liezen;61228;Öblarn;1313;128;1441;01.01.2012
AT2;AT22;AT222;612;Liezen;61229;Oppenberg;242;3;245;01.01.2012
AT2;AT22;AT222;612;Liezen;61230;Palfau;397;5;402;01.01.2012
AT2;AT22;AT222;612;Liezen;61232;Pichl-Preunegg;883;56;939;01.01.2012
AT2;AT22;AT222;612;Liezen;61233;Pichl-Kainisch;724;39;763;01.01.2012
AT2;AT22;AT222;612;Liezen;61234;Pruggern;562;57;619;01.01.2012
AT2;AT22;AT222;612;Liezen;61235;Pürgg-Trautenfels;853;67;920;01.01.2012
AT2;AT22;AT222;612;Liezen;61236;Ramsau am Dachstein;2521;244;2765;01.01.2012
AT2;AT22;AT222;612;Liezen;61237;Rohrmoos-Untertal;1332;59;1391;01.01.2012
AT2;AT22;AT222;612;Liezen;61238;Rottenmann;4638;445;5083;01.01.2012
AT2;AT22;AT222;612;Liezen;61239;Sankt Gallen;1377;42;1419;01.01.2012
AT2;AT22;AT222;612;Liezen;61240;Sankt Martin am Grimming;735;26;761;01.01.2012
AT2;AT22;AT222;612;Liezen;61241;Sankt Nikolai im Sölktal;481;14;495;01.01.2012
AT2;AT22;AT222;612;Liezen;61242;Schladming;3804;552;4356;01.01.2012
AT2;AT22;AT222;612;Liezen;61243;Selzthal;1565;111;1676;01.01.2012
AT2;AT22;AT222;612;Liezen;61244;Stainach;1738;216;1954;01.01.2012
AT2;AT22;AT222;612;Liezen;61245;Tauplitz;930;80;1010;01.01.2012
AT2;AT22;AT222;612;Liezen;61246;Treglwang;347;18;365;01.01.2012
AT2;AT22;AT222;612;Liezen;61247;Trieben;3212;218;3430;01.01.2012
AT2;AT22;AT222;612;Liezen;61248;Weißenbach an der Enns;488;15;503;01.01.2012
AT2;AT22;AT222;612;Liezen;61249;Weißenbach bei Liezen;1075;37;1112;01.01.2012
AT2;AT22;AT222;612;Liezen;61250;Weng im Gesäuse;592;15;607;01.01.2012
AT2;AT22;AT222;612;Liezen;61251;Wildalpen;512;14;526;01.01.2012
AT2;AT22;AT222;612;Liezen;61252;Wörschach;1106;53;1159;01.01.2012
AT2;AT22;AT226;614;Murau;61401;Dürnstein in der Steiermark;260;15;275;01.01.2012
AT2;AT22;AT226;614;Murau;61403;Frojach-Katsch;1166;25;1191;01.01.2012
AT2;AT22;AT226;614;Murau;61404;Krakaudorf;628;7;635;01.01.2012
AT2;AT22;AT226;614;Murau;61405;Krakauhintermühlen;542;9;551;01.01.2012
AT2;AT22;AT226;614;Murau;61406;Krakauschatten;306;12;318;01.01.2012
AT2;AT22;AT226;614;Murau;61407;Kulm am Zirbitz;328;1;329;01.01.2012
AT2;AT22;AT226;614;Murau;61408;Laßnitz bei Murau;1016;27;1043;01.01.2012
AT2;AT22;AT226;614;Murau;61409;Mariahof;1312;24;1336;01.01.2012
AT2;AT22;AT226;614;Murau;61410;Mühlen;916;16;932;01.01.2012
AT2;AT22;AT226;614;Murau;61411;Murau;1983;128;2111;01.01.2012
AT2;AT22;AT226;614;Murau;61412;Neumarkt in Steiermark;1713;73;1786;01.01.2012
AT2;AT22;AT226;614;Murau;61413;Niederwölz;581;17;598;01.01.2012
AT2;AT22;AT226;614;Murau;61414;Oberwölz Stadt;968;22;990;01.01.2012
AT2;AT22;AT226;614;Murau;61415;Oberwölz Umgebung;773;16;789;01.01.2012
AT2;AT22;AT226;614;Murau;61416;Perchau am Sattel;291;8;299;01.01.2012
AT2;AT22;AT226;614;Murau;61417;Predlitz-Turrach;739;110;849;01.01.2012
AT2;AT22;AT226;614;Murau;61418;Ranten;1039;6;1045;01.01.2012
AT2;AT22;AT226;614;Murau;61419;Rinegg;154;6;160;01.01.2012
AT2;AT22;AT226;614;Murau;61420;Sankt Blasen;554;17;571;01.01.2012
AT2;AT22;AT226;614;Murau;61421;Sankt Georgen ob Murau;1286;96;1382;01.01.2012
AT2;AT22;AT226;614;Murau;61422;Sankt Lambrecht;1322;121;1443;01.01.2012
AT2;AT22;AT226;614;Murau;61423;Sankt Lorenzen bei Scheifling;598;24;622;01.01.2012
AT2;AT22;AT226;614;Murau;61424;Sankt Marein bei Neumarkt;929;31;960;01.01.2012
AT2;AT22;AT226;614;Murau;61425;Sankt Peter am Kammersberg;2054;39;2093;01.01.2012
AT2;AT22;AT226;614;Murau;61427;Scheifling;1476;59;1535;01.01.2012
AT2;AT22;AT226;614;Murau;61428;Schöder;996;18;1014;01.01.2012
AT2;AT22;AT226;614;Murau;61429;Schönberg-Lachtal;426;16;442;01.01.2012
AT2;AT22;AT226;614;Murau;61430;Stadl an der Mur;975;25;1000;01.01.2012
AT2;AT22;AT226;614;Murau;61431;Stolzalpe;420;23;443;01.01.2012
AT2;AT22;AT226;614;Murau;61432;Teufenbach;653;53;706;01.01.2012
AT2;AT22;AT226;614;Murau;61433;Triebendorf;134;4;138;01.01.2012
AT2;AT22;AT226;614;Murau;61434;Winklern bei Oberwölz;871;16;887;01.01.2012
AT2;AT22;AT226;614;Murau;61435;Zeutschach;219;3;222;01.01.2012
AT2;AT22;AT226;614;Murau;61436;St.Ruprecht-Falkendorf;467;4;471;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61601;Bärnbach;5087;155;5242;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61602;Edelschrott;1575;46;1621;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61603;Gallmannsegg;309;5;314;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61604;Geistthal;822;13;835;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61605;Gößnitz;446;7;453;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61606;Graden;481;3;484;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61607;Hirschegg;662;17;679;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61608;Kainach bei Voitsberg;660;9;669;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61609;Köflach;9360;358;9718;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61610;Kohlschwarz;690;18;708;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61611;Krottendorf-Gaisfeld;2387;51;2438;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61612;Ligist;3177;57;3234;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61613;Maria Lankowitz;2119;73;2192;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61614;Modriach;202;8;210;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61615;Mooskirchen;2010;58;2068;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61616;Pack;412;6;418;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61617;Piberegg;352;9;361;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61618;Rosental an der Kainach;1647;52;1699;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61619;Salla;288;1;289;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61620;Sankt Johann-Köppling;1721;51;1772;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61621;Sankt Martin am Wöllmißberg;814;14;828;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61622;Söding;2087;84;2171;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61623;Södingberg;822;12;834;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61624;Stallhofen;3106;53;3159;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61625;Voitsberg;9228;374;9602;01.01.2012
AT2;AT22;AT224;617;Weiz;61701;Albersdorf-Prebuch;1911;77;1988;01.01.2012
AT2;AT22;AT224;617;Weiz;61702;Anger;813;18;831;01.01.2012
AT2;AT22;AT224;617;Weiz;61703;Arzberg;544;9;553;01.01.2012
AT2;AT22;AT224;617;Weiz;61704;Baierdorf bei Anger;1640;27;1667;01.01.2012
AT2;AT22;AT224;617;Weiz;61705;Birkfeld;1581;34;1615;01.01.2012
AT2;AT22;AT224;617;Weiz;61706;Etzersdorf-Rollsdorf;1126;8;1134;01.01.2012
AT2;AT22;AT224;617;Weiz;61707;Feistritz bei Anger;1049;24;1073;01.01.2012
AT2;AT22;AT224;617;Weiz;61708;Fischbach;1550;14;1564;01.01.2012
AT2;AT22;AT224;617;Weiz;61709;Fladnitz an der Teichalm;1134;45;1179;01.01.2012
AT2;AT22;AT224;617;Weiz;61710;Floing;1180;21;1201;01.01.2012
AT2;AT22;AT224;617;Weiz;61711;Gasen;927;6;933;01.01.2012
AT2;AT22;AT224;617;Weiz;61712;Gersdorf an der Feistritz;1189;26;1215;01.01.2012
AT2;AT22;AT224;617;Weiz;61713;Gleisdorf;5293;467;5760;01.01.2012
AT2;AT22;AT224;617;Weiz;61714;Gschaid bei Birkfeld;905;11;916;01.01.2012
