Migrationshintergrund in Wien gemeldeter Personen nach Geschlecht und Wiener Zählbezirk;;;;;;;;;;;;;;;;;;
Migration background of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;91901;1999;2;8;0;0;1;0;0;0;1;0;0;1;5;20110101
AT1;AT13;AT130;92001;2001;2;4231;319;314;47;104;126;41;42;55;35;510;2638;20110101
AT1;AT13;AT130;92001;2002;2;7510;849;669;126;247;206;93;158;77;57;1107;3921;20110101
AT1;AT13;AT130;92001;2003;2;6928;731;570;171;175;181;124;125;72;60;828;3891;20110101
AT1;AT13;AT130;92001;2004;2;4780;310;285;83;140;120;69;64;64;45;778;2822;20110101
AT1;AT13;AT130;92001;2005;2;5612;674;486;151;196;154;88;174;47;47;834;2761;20110101
AT1;AT13;AT130;92001;2006;2;4355;292;348;62;100;79;47;48;54;42;549;2734;20110101
AT1;AT13;AT130;92001;2007;2;6655;520;482;88;186;144;68;86;80;68;834;4099;20110101
AT1;AT13;AT130;92001;2008;2;2734;291;189;53;108;73;57;57;29;29;336;1512;20110101
AT1;AT13;AT130;92001;2099;2;42;2;2;0;1;0;0;0;3;0;3;31;20110101
AT1;AT13;AT130;92101;2101;2;689;15;1;11;13;2;0;3;5;3;18;618;20110101
AT1;AT13;AT130;92101;2102;2;3581;85;32;69;131;47;29;11;29;33;277;2838;20110101
AT1;AT13;AT130;92101;2103;2;2818;60;27;48;95;15;8;14;22;28;193;2308;20110101
AT1;AT13;AT130;92101;2104;2;2036;52;20;32;23;9;11;31;30;10;141;1677;20110101
AT1;AT13;AT130;92101;2105;2;9710;414;457;118;158;83;29;94;162;46;1027;7122;20110101
AT1;AT13;AT130;92101;2106;2;437;47;5;3;3;4;3;11;6;2;36;317;20110101
AT1;AT13;AT130;92101;2107;2;1470;72;27;23;45;24;7;19;20;10;126;1097;20110101
AT1;AT13;AT130;92101;2108;2;1296;38;27;16;11;13;5;6;12;11;97;1060;20110101
AT1;AT13;AT130;92101;2109;2;3534;88;57;67;159;24;13;28;57;30;280;2731;20110101
AT1;AT13;AT130;92101;2110;2;2383;148;62;34;52;35;17;28;28;11;242;1726;20110101
AT1;AT13;AT130;92101;2111;2;2570;84;38;52;72;33;21;31;40;25;288;1886;20110101
AT1;AT13;AT130;92101;2112;2;3780;171;260;43;82;32;17;34;37;11;395;2698;20110101
AT1;AT13;AT130;92101;2113;2;2405;34;17;51;29;5;19;12;33;18;156;2031;20110101
AT1;AT13;AT130;92101;2114;2;2623;83;64;32;35;18;14;31;37;11;205;2093;20110101
AT1;AT13;AT130;92101;2115;2;2311;68;33;28;45;16;9;16;30;36;151;1879;20110101
AT1;AT13;AT130;92101;2116;2;1735;21;3;36;20;3;2;10;37;10;86;1507;20110101
AT1;AT13;AT130;92101;2117;2;3427;205;172;39;83;28;15;28;48;22;301;2486;20110101
AT1;AT13;AT130;92101;2118;2;3568;231;119;81;103;58;57;55;49;28;384;2403;20110101
AT1;AT13;AT130;92101;2119;2;1608;85;33;16;43;16;16;19;13;16;175;1176;20110101
AT1;AT13;AT130;92101;2120;2;872;77;32;19;34;37;11;11;12;5;101;533;20110101
AT1;AT13;AT130;92101;2121;2;3107;311;99;59;81;66;26;69;47;26;355;1968;20110101
AT1;AT13;AT130;92101;2122;2;4326;179;149;83;133;73;35;67;86;41;555;2925;20110101
AT1;AT13;AT130;92101;2123;2;5331;312;138;133;166;99;51;71;63;44;702;3552;20110101
AT1;AT13;AT130;92101;2124;2;1665;43;34;35;51;14;5;20;32;14;124;1293;20110101
AT1;AT13;AT130;92101;2125;2;2278;53;29;59;70;21;11;30;22;16;258;1709;20110101
AT1;AT13;AT130;92101;2126;2;3774;127;82;74;94;51;35;24;41;41;359;2846;20110101
AT1;AT13;AT130;92101;2127;2;763;10;5;21;9;6;4;5;16;5;116;566;20110101
AT1;AT13;AT130;92101;2128;2;133;20;12;2;3;9;9;2;0;1;26;49;20110101
AT1;AT13;AT130;92101;2129;2;3;0;0;0;0;0;0;0;0;0;1;2;20110101
AT1;AT13;AT130;92101;2130;2;7;0;0;0;0;0;0;0;0;0;0;7;20110101
AT1;AT13;AT130;92101;2199;2;289;4;0;2;1;2;0;1;2;2;8;267;20110101
