Erwerbstätige PendlerInnen am Arbeits- bzw. Wohnort Wien nach Geschlecht und Entfernungskategorie;;;;;;;;;
Economically Active Commuters in Vienna by sex and category of distance;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUBDISTRICT_CODE;SEX;DISTANCE_CAT;EAC_PLACE_OF_WORK;EAC_PLACE_OF_ABODE;REF_YEAR
AT1;AT13;AT130;91801;0;0;2;2.807;2.807;2009
AT1;AT13;AT130;91801;0;0;3;7.923;14.001;2009
AT1;AT13;AT130;91801;0;0;4;3.184;1.985;2009
AT1;AT13;AT130;91801;0;0;5;;17;2009
AT1;AT13;AT130;91801;0;0;0;15.770;20.666;2009
AT1;AT13;AT130;91901;0;1;1;1.264;1.264;2009
AT1;AT13;AT130;91901;0;1;2;2.122;2.122;2009
AT1;AT13;AT130;91901;0;1;3;6.347;8.846;2009
AT1;AT13;AT130;91901;0;1;4;2.869;1.562;2009
AT1;AT13;AT130;91901;0;1;5;;14;2009
AT1;AT13;AT130;91901;0;1;0;12.602;13.808;2009
AT1;AT13;AT130;91901;0;2;1;969;969;2009
AT1;AT13;AT130;91901;0;2;2;2.891;2.891;2009
AT1;AT13;AT130;91901;0;2;3;7.617;8.134;2009
AT1;AT13;AT130;91901;0;2;4;2.832;1.001;2009
AT1;AT13;AT130;91901;0;2;5;;10;2009
AT1;AT13;AT130;91901;0;2;0;14.309;13.005;2009
AT1;AT13;AT130;91901;0;0;1;2.233;2.233;2009
AT1;AT13;AT130;91901;0;0;2;5.013;5.013;2009
AT1;AT13;AT130;91901;0;0;3;13.964;16.980;2009
AT1;AT13;AT130;91901;0;0;4;5.701;2.563;2009
AT1;AT13;AT130;91901;0;0;5;;24;2009
AT1;AT13;AT130;91901;0;0;0;26.911;26.813;2009
AT1;AT13;AT130;92001;0;1;1;918;918;2009
AT1;AT13;AT130;92001;0;1;2;2.336;2.336;2009
AT1;AT13;AT130;92001;0;1;3;7.089;12.300;2009
AT1;AT13;AT130;92001;0;1;4;3.739;2.669;2009
AT1;AT13;AT130;92001;0;1;5;;10;2009
AT1;AT13;AT130;92001;0;1;0;14.082;18.233;2009
AT1;AT13;AT130;92001;0;2;1;510;510;2009
AT1;AT13;AT130;92001;0;2;2;2.665;2.665;2009
AT1;AT13;AT130;92001;0;2;3;5.376;10.919;2009
AT1;AT13;AT130;92001;0;2;4;2.860;1.111;2009
AT1;AT13;AT130;92001;0;2;5;;5;2009
AT1;AT13;AT130;92001;0;2;0;11.411;15.210;2009
AT1;AT13;AT130;92001;0;0;1;1.428;1.428;2009
AT1;AT13;AT130;92001;0;0;2;5.001;5.001;2009
AT1;AT13;AT130;92001;0;0;3;12.465;23.219;2009
AT1;AT13;AT130;92001;0;0;4;6.599;3.780;2009
AT1;AT13;AT130;92001;0;0;5;;15;2009
AT1;AT13;AT130;92001;0;0;0;25.493;33.443;2009
