NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_AUT_BORN;POP_FOR_BORN;POP_TOTAL;REF_DATE
AT2;AT22;AT225;616;Voitsberg;61623;Södingberg;811;23;834;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61624;Stallhofen;3083;76;3159;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61625;Voitsberg;8970;632;9602;01.01.2012
AT2;AT22;AT224;617;Weiz;61701;Albersdorf-Prebuch;1871;117;1988;01.01.2012
AT2;AT22;AT224;617;Weiz;61702;Anger;799;32;831;01.01.2012
AT2;AT22;AT224;617;Weiz;61703;Arzberg;541;12;553;01.01.2012
AT2;AT22;AT224;617;Weiz;61704;Baierdorf bei Anger;1631;36;1667;01.01.2012
AT2;AT22;AT224;617;Weiz;61705;Birkfeld;1565;50;1615;01.01.2012
AT2;AT22;AT224;617;Weiz;61706;Etzersdorf-Rollsdorf;1111;23;1134;01.01.2012
AT2;AT22;AT224;617;Weiz;61707;Feistritz bei Anger;1042;31;1073;01.01.2012
AT2;AT22;AT224;617;Weiz;61708;Fischbach;1547;17;1564;01.01.2012
AT2;AT22;AT224;617;Weiz;61709;Fladnitz an der Teichalm;1130;49;1179;01.01.2012
AT2;AT22;AT224;617;Weiz;61710;Floing;1181;20;1201;01.01.2012
AT2;AT22;AT224;617;Weiz;61711;Gasen;924;9;933;01.01.2012
AT2;AT22;AT224;617;Weiz;61712;Gersdorf an der Feistritz;1180;35;1215;01.01.2012
AT2;AT22;AT224;617;Weiz;61713;Gleisdorf;5112;648;5760;01.01.2012
AT2;AT22;AT224;617;Weiz;61714;Gschaid bei Birkfeld;903;13;916;01.01.2012
