NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_MEN;POP_WOMEN;POP_TOTAL;REF_DATE
AT2;AT22;AT222;612;Liezen;61215;Grundlsee;586;652;1238;01.01.2013
AT2;AT22;AT222;612;Liezen;61216;Hall;860;907;1767;01.01.2013
AT2;AT22;AT222;612;Liezen;61217;Haus;1197;1205;2402;01.01.2013
AT2;AT22;AT222;612;Liezen;61218;Irdning;1312;1443;2755;01.01.2013
AT2;AT22;AT222;612;Liezen;61219;Johnsbach;63;78;141;01.01.2013
AT2;AT22;AT222;612;Liezen;61220;Kleinsölk;306;284;590;01.01.2013
AT2;AT22;AT222;612;Liezen;61221;Landl;624;655;1279;01.01.2013
AT2;AT22;AT222;612;Liezen;61222;Lassing;809;849;1658;01.01.2013
AT2;AT22;AT222;612;Liezen;61223;Liezen;3232;3571;6803;01.01.2013
AT2;AT22;AT222;612;Liezen;61224;Michaelerberg;267;282;549;01.01.2013
AT2;AT22;AT222;612;Liezen;61225;Mitterberg;592;564;1156;01.01.2013
AT2;AT22;AT222;612;Liezen;61226;Bad Mitterndorf;1502;1577;3079;01.01.2013
AT2;AT22;AT222;612;Liezen;61227;Niederöblarn;298;303;601;01.01.2013
AT2;AT22;AT222;612;Liezen;61228;Öblarn;708;740;1448;01.01.2013
AT2;AT22;AT222;612;Liezen;61229;Oppenberg;120;123;243;01.01.2013
AT2;AT22;AT222;612;Liezen;61230;Palfau;192;204;396;01.01.2013
AT2;AT22;AT222;612;Liezen;61232;Pichl-Preunegg;468;451;919;01.01.2013
AT2;AT22;AT222;612;Liezen;61233;Pichl-Kainisch;389;370;759;01.01.2013
AT2;AT22;AT222;612;Liezen;61234;Pruggern;318;302;620;01.01.2013
AT2;AT22;AT222;612;Liezen;61235;Pürgg-Trautenfels;433;486;919;01.01.2013
AT2;AT22;AT222;612;Liezen;61236;Ramsau am Dachstein;1376;1419;2795;01.01.2013
AT2;AT22;AT222;612;Liezen;61237;Rohrmoos-Untertal;699;704;1403;01.01.2013
AT2;AT22;AT222;612;Liezen;61238;Rottenmann;2501;2564;5065;01.01.2013
AT2;AT22;AT222;612;Liezen;61239;Sankt Gallen;701;711;1412;01.01.2013
AT2;AT22;AT222;612;Liezen;61240;Sankt Martin am Grimming;386;384;770;01.01.2013
