Wanderung gegenüber Wien nach Zählbezirken, Migrationshintergrund und Geschlecht;;;;;;;;;;;;;;;;;;
Migration in Vienna by subdistrict, migrationbackground and sex;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;MIG_BACKGROUND;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;IMM_SDC;EMI_SDC;MIG_SDC_INT;REF_DATE
AT1;AT13;AT130;00000;9010199;1;DEU;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010199;1;POL;-1;-1;0;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010199;1;ROU;-1;-1;0;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010199;1;REST-EU;-5;-3;1;4;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010199;1;SCG;-3;-1;0;1;-2;0;0;1;3;0;2007
AT1;AT13;AT130;00000;9010199;1;TUR;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010199;1;HRV;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010199;1;OTHER;-3;-2;0;2;-1;2;1;0;2;0;2007
AT1;AT13;AT130;00000;9020101;2;AUT;45;-5;5;10;50;44;42;206;158;25;2007
AT1;AT13;AT130;00000;9020101;2;DEU;3;3;5;2;0;1;1;5;5;0;2007
AT1;AT13;AT130;00000;9020101;2;POL;5;4;5;1;1;0;4;13;8;0;2007
AT1;AT13;AT130;00000;9020101;2;ROU;-3;1;2;1;-4;0;2;2;4;1;2007
AT1;AT13;AT130;00000;9020101;2;SVK;10;5;5;0;5;0;0;8;3;0;2007
AT1;AT13;AT130;00000;9020101;2;HUN;5;1;2;1;4;0;1;5;0;3;2007
AT1;AT13;AT130;00000;9020101;2;BGR;7;1;2;1;6;0;0;7;1;0;2007
AT1;AT13;AT130;00000;9020101;2;CZE;-4;0;0;0;-4;0;2;0;2;1;2007
AT1;AT13;AT130;00000;9020101;2;REST-EU;10;7;8;1;3;0;1;6;2;0;2007
AT1;AT13;AT130;00000;9020101;2;SCG;19;1;3;2;18;1;2;36;17;2;2007
AT1;AT13;AT130;00000;9020101;2;TUR;25;4;5;1;21;0;0;34;13;0;2007
AT1;AT13;AT130;00000;9020101;2;BIH;4;2;3;1;2;1;0;9;8;2;2007
AT1;AT13;AT130;00000;9020101;2;HRV;0;0;0;0;0;1;0;2;3;1;2007
AT1;AT13;AT130;00000;9020101;2;MKD;4;0;0;0;4;1;0;5;2;0;2007
AT1;AT13;AT130;00000;9020101;2;RUS;21;2;2;0;19;5;0;20;6;1;2007
AT1;AT13;AT130;00000;9020101;2;CHN;7;-1;1;2;8;0;0;9;1;1;2007
AT1;AT13;AT130;00000;9020101;2;OTHER;0;-3;15;18;3;4;6;40;35;8;2007
AT1;AT13;AT130;00000;9020101;1;AUT;105;8;18;10;97;50;43;247;157;31;2007
AT1;AT13;AT130;00000;9020101;1;DEU;0;-4;3;7;4;2;1;7;4;0;2007
AT1;AT13;AT130;00000;9020101;1;POL;-3;-2;2;4;-1;1;1;10;11;1;2007
AT1;AT13;AT130;00000;9020101;1;ROU;-1;-2;1;3;1;0;1;5;3;0;2007
AT1;AT13;AT130;00000;9020101;1;SVK;2;2;2;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9020101;1;HUN;3;1;1;0;2;1;1;4;2;3;2007
AT1;AT13;AT130;00000;9020101;1;BGR;6;1;1;0;5;1;0;4;0;0;2007
AT1;AT13;AT130;00000;9020101;1;CZE;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9020101;1;REST-EU;7;7;7;0;0;1;2;6;5;0;2007
AT1;AT13;AT130;00000;9020101;1;SCG;7;2;5;3;5;2;3;26;20;1;2007
AT1;AT13;AT130;00000;9020101;1;TUR;17;2;3;1;15;1;1;34;19;0;2007
AT1;AT13;AT130;00000;9020101;1;BIH;4;1;1;0;3;2;0;11;10;2;2007
AT1;AT13;AT130;00000;9020101;1;HRV;3;3;3;0;0;0;0;2;2;2;2007
