Bevölkerungsindikatoren in Wien nach Wiener Bezirk ;;;;;;;;;;;;;;;;;;;;;;;
population indicators in Vienna by Vienna district ;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;DISTRICT_POP_RATIO;POP_DENSITY;RATE_M;RATE_F;SEX_RATIO;RATE_FOR_NATIONAL;RATE_FOR_BORN;RATE_MIG_BACKGROUND;AVERAGE_AGE_M;AVERAGE_AGE_F;WORKINGAGE_RATIO;YOUTH_RATIO;AGE_RATIO;OLD_AGE_RATIO;DEPENDENCY_RATIO;YOUTH_DEP_RATIO;AGE_DEP_RATIO;OLD_AGED_DER_RATIO;REF_DATE
AT1;AT13;AT130;92001;0;4,854217965;14596,13792;48,95202217;51,04797783;104,2816529;29,42016293;39,07931519;43,49077995;37,77312387;40,76302616;64,73467625;19,84979184;15,41553191;1,893198642;54,47671294;30,66330597;23,81340697;12,28111137;20120101
AT1;AT13;AT130;92101;0;8,40162741;3246,008829;47,89793641;52,10206359;108,7772616;14,809064;23,05719415;25,49510269;39,3811922;42,05211271;61,40659767;21,08094245;17,51245988;1,866036336;62,84895075;34,33009358;28,51885717;10,65547815;20120101
AT1;AT13;AT130;92201;0;9,432095343;1583,165881;47,92136184;52,07863816;108,6752049;12,64841902;22,18366603;24,07737856;38,18284544;40,6029403;62,1189575;22,88817402;14,99286848;1,506572732;60,9814524;36,84571497;24,13573743;10,04859567;20120101
AT1;AT13;AT130;92301;0;5,50171104;2945,922095;46,95402725;53,04597275;112,9742769;11,88749749;19,75568705;21,72141126;40,54354442;43,85460568;59,91912691;20,08171993;19,99915316;2,674951571;66,89161735;33,51470718;33,37691017;13,37532419;20120101
AT1;AT13;AT130;90101;0;0,934273503;5670,581721;47,84853701;52,15146299;108,9928058;21,05360216;32,00762233;33,82099828;45,46056012;47,6995521;61,16916646;13,75092206;25,07991148;4,155397099;63,48105718;22,48015275;41,00090443;16,56862745;20130101
AT1;AT13;AT130;90201;0;5,563027855;5034,095483;48,71575166;51,28424834;105,2724152;28,49193732;37,16267834;41,12175583;38,00989637;40,89524327;64,81324717;19,62401668;15,56273615;2,406417112;54,28944602;30,27778663;24,01165939;15,46268657;20130101
AT1;AT13;AT130;90301;0;4,910736335;11558,7156;47,34293867;52,65706133;111,2247419;24,54273284;33,31501146;36,19661318;39,55355467;42,46841825;66,04879076;16,97852832;16,97268092;2,592739861;51,40322609;25,70603963;25,69718647;15,27595948;20130101
AT1;AT13;AT130;90401;0;1,779702581;17456,72621;47,06186066;52,93813934;112,4862863;25,68976088;34,73813289;37,21965859;40,09078442;42,91429442;66,44615831;15,97018297;17,58365872;3,123689051;50,4977903;24,03477247;26,46301782;17,76472747;20130101
AT1;AT13;AT130;90501;0;3,047874913;26381,97397;48,9702474;51,0297526;104,2056255;30,41774227;39,38685911;43,20250231;38,0085036;40,63761908;69,02828287;16,93391871;14,03779842;2,129223116;44,86815527;24,53185565;20,33629961;15,16778523;20130101
AT1;AT13;AT130;90601;0;1,729623499;20697,75586;48,25845868;51,74154132;107,2175588;23,87355978;32,91828535;35,31560248;39,299367;42,07707117;70,7673407;14,27433011;14,95832918;2,327589069;41,3081218;20,17078778;21,13733402;15,56048835;20130101
