NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;DEATHS;YEAR
AT2;AT22;AT226;614;Murau;61429;Schönberg-Lachtal;1;2012
AT2;AT22;AT226;614;Murau;61430;Stadl an der Mur;17;2012
AT2;AT22;AT226;614;Murau;61431;Stolzalpe;2;2012
AT2;AT22;AT226;614;Murau;61432;Teufenbach;23;2012
AT2;AT22;AT226;614;Murau;61433;Triebendorf;1;2012
AT2;AT22;AT226;614;Murau;61434;Winklern bei Oberwölz;3;2012
AT2;AT22;AT226;614;Murau;61435;Zeutschach;3;2012
AT2;AT22;AT226;614;Murau;61436;St.Ruprecht-Falkendorf;3;2012
AT2;AT22;AT225;616;Voitsberg;61601;Bärnbach;54;2012
AT2;AT22;AT225;616;Voitsberg;61602;Edelschrott;28;2012
AT2;AT22;AT225;616;Voitsberg;61603;Gallmannsegg;2;2012
AT2;AT22;AT225;616;Voitsberg;61604;Geistthal;5;2012
AT2;AT22;AT225;616;Voitsberg;61605;Gößnitz;3;2012
AT2;AT22;AT225;616;Voitsberg;61606;Graden;7;2012
AT2;AT22;AT225;616;Voitsberg;61607;Hirschegg;7;2012
AT2;AT22;AT225;616;Voitsberg;61608;Kainach bei Voitsberg;14;2012
AT2;AT22;AT225;616;Voitsberg;61609;Köflach;128;2012
AT2;AT22;AT225;616;Voitsberg;61610;Kohlschwarz;5;2012
AT2;AT22;AT225;616;Voitsberg;61611;Krottendorf-Gaisfeld;17;2012
AT2;AT22;AT225;616;Voitsberg;61612;Ligist;28;2012
AT2;AT22;AT225;616;Voitsberg;61613;Maria Lankowitz;34;2012
AT2;AT22;AT225;616;Voitsberg;61614;Modriach;2;2012
AT2;AT22;AT225;616;Voitsberg;61615;Mooskirchen;26;2012
AT2;AT22;AT225;616;Voitsberg;61616;Pack;3;2012
AT2;AT22;AT225;616;Voitsberg;61617;Piberegg;2;2012
AT2;AT22;AT225;616;Voitsberg;61618;Rosental an der Kainach;20;2012
AT2;AT22;AT225;616;Voitsberg;61619;Salla;6;2012
AT2;AT22;AT225;616;Voitsberg;61620;Sankt Johann-Köppling;23;2012
AT2;AT22;AT225;616;Voitsberg;61621;Sankt Martin am Wöllmißberg;9;2012
AT2;AT22;AT225;616;Voitsberg;61622;Söding;26;2012
AT2;AT22;AT225;616;Voitsberg;61623;Södingberg;9;2012
AT2;AT22;AT225;616;Voitsberg;61624;Stallhofen;38;2012
AT2;AT22;AT225;616;Voitsberg;61625;Voitsberg;151;2012
AT2;AT22;AT224;617;Weiz;61701;Albersdorf-Prebuch;9;2012
AT2;AT22;AT224;617;Weiz;61702;Anger;15;2012
AT2;AT22;AT224;617;Weiz;61703;Arzberg;3;2012
AT2;AT22;AT224;617;Weiz;61704;Baierdorf bei Anger;14;2012
AT2;AT22;AT224;617;Weiz;61705;Birkfeld;31;2012
AT2;AT22;AT224;617;Weiz;61706;Etzersdorf-Rollsdorf;6;2012
AT2;AT22;AT224;617;Weiz;61707;Feistritz bei Anger;3;2012
AT2;AT22;AT224;617;Weiz;61708;Fischbach;15;2012
AT2;AT22;AT224;617;Weiz;61709;Fladnitz an der Teichalm;15;2012
AT2;AT22;AT224;617;Weiz;61710;Floing;8;2012
AT2;AT22;AT224;617;Weiz;61711;Gasen;11;2012
AT2;AT22;AT224;617;Weiz;61712;Gersdorf an der Feistritz;11;2012
AT2;AT22;AT224;617;Weiz;61713;Gleisdorf;97;2012
AT2;AT22;AT224;617;Weiz;61714;Gschaid bei Birkfeld;2;2012
AT2;AT22;AT224;617;Weiz;61715;Gutenberg an der Raabklamm;6;2012
AT2;AT22;AT224;617;Weiz;61716;Markt Hartmannsdorf;20;2012
AT2;AT22;AT224;617;Weiz;61717;Haslau bei Birkfeld;4;2012
AT2;AT22;AT224;617;Weiz;61718;Hirnsdorf;4;2012
AT2;AT22;AT224;617;Weiz;61719;Hofstätten an der Raab;8;2012
AT2;AT22;AT224;617;Weiz;61720;Hohenau an der Raab;7;2012
AT2;AT22;AT224;617;Weiz;61721;Ilztal;15;2012
AT2;AT22;AT224;617;Weiz;61722;Koglhof;11;2012
