NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;LIVEBIRTHS;YEAR
AT2;AT22;AT226;620;Murtal;62025;Sankt Anna am Lavantegg;1;2012
AT2;AT22;AT226;620;Murtal;62026;Sankt Georgen ob Judenburg;10;2012
AT2;AT22;AT226;620;Murtal;62027;Sankt Johann am Tauern;5;2012
AT2;AT22;AT226;620;Murtal;62028;Sankt Lorenzen bei Knittelfeld;11;2012
AT2;AT22;AT226;620;Murtal;62029;Sankt Marein bei Knittelfeld;17;2012
AT2;AT22;AT226;620;Murtal;62030;Sankt Margarethen bei Knittelfeld;5;2012
AT2;AT22;AT226;620;Murtal;62031;Sankt Oswald-Möderbrugg;8;2012
AT2;AT22;AT226;620;Murtal;62032;Sankt Peter ob Judenburg;8;2012
AT2;AT22;AT226;620;Murtal;62033;Sankt Wolfgang-Kienberg;0;2012
AT2;AT22;AT226;620;Murtal;62034;Seckau;8;2012
AT2;AT22;AT226;620;Murtal;62035;Spielberg;38;2012
