Wanderung gegenüber Wien nach Geburtsstaat und Geschlecht - Zeitreihe;;;;;;;;;;;;;;;
Migration in Vienna by country of birth and sex - time series;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;COUNTRY_OF_BIRTH;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;MIG_VIE_INT;REF_DATE
AT1;AT13;AT130;00000;00000000;2;HUN;120;164;456;292;-44;93;137;564;2006
AT1;AT13;AT130;00000;00000000;2;BGR;55;53;413;360;2;48;46;623;2006
AT1;AT13;AT130;00000;00000000;2;CZE;-4;57;247;190;-61;76;137;541;2006
AT1;AT13;AT130;00000;00000000;2;REST-EU;262;269;1215;946;-7;135;142;873;2006
AT1;AT13;AT130;00000;00000000;2;SCG;461;476;1600;1124;-15;340;355;6004;2006
AT1;AT13;AT130;00000;00000000;2;TUR;550;530;977;447;20;205;185;3633;2006
AT1;AT13;AT130;00000;00000000;2;BIH;313;268;515;247;45;219;174;1927;2006
AT1;AT13;AT130;00000;00000000;2;HRV;108;95;219;124;13;51;38;496;2006
AT1;AT13;AT130;00000;00000000;2;MKD;105;106;165;59;-1;23;24;440;2006
AT1;AT13;AT130;00000;00000000;2;RUS;472;214;353;139;258;379;121;838;2006
AT1;AT13;AT130;00000;00000000;2;CHN;99;66;357;291;33;159;126;1003;2006
AT1;AT13;AT130;00000;00000000;2;OTHER;1815;1545;4260;2715;270;795;525;6254;2006
AT1;AT13;AT130;00000;00000000;1;AUT;-2116;-569;3142;3711;-1547;9644;11191;39818;2006
AT1;AT13;AT130;00000;00000000;1;DEU;906;952;1776;824;-46;292;338;1556;2006
AT1;AT13;AT130;00000;00000000;1;POL;914;965;2218;1253;-51;165;216;2054;2006
AT1;AT13;AT130;00000;00000000;1;ROU;-106;-63;881;944;-43;136;179;811;2006
AT1;AT13;AT130;00000;00000000;1;SVK;125;148;558;410;-23;50;73;382;2006
AT1;AT13;AT130;00000;00000000;1;HUN;120;127;466;339;-7;86;93;364;2006
AT1;AT13;AT130;00000;00000000;1;BGR;6;6;331;325;0;35;35;411;2006
AT1;AT13;AT130;00000;00000000;1;CZE;13;34;183;149;-21;53;74;285;2006
AT1;AT13;AT130;00000;00000000;1;REST-EU;61;100;1400;1300;-39;136;175;1053;2006
AT1;AT13;AT130;00000;00000000;1;SCG;237;241;2213;1972;-4;505;509;7056;2006
AT1;AT13;AT130;00000;00000000;1;TUR;352;359;1217;858;-7;345;352;5552;2006
AT1;AT13;AT130;00000;00000000;1;BIH;170;161;559;398;9;226;217;2213;2006
AT1;AT13;AT130;00000;00000000;1;HRV;42;51;281;230;-9;48;57;479;2006
AT1;AT13;AT130;00000;00000000;1;MKD;88;87;265;178;1;52;51;814;2006
AT1;AT13;AT130;00000;00000000;1;RUS;385;150;331;181;235;398;163;879;2006
AT1;AT13;AT130;00000;00000000;1;CHN;36;20;368;348;16;148;132;892;2006
AT1;AT13;AT130;00000;00000000;1;OTHER;947;505;5075;4570;442;1552;1110;11282;2006
AT1;AT13;AT130;00000;00000000;2;AUT;-2498;-1129;1263;2392;-1369;10497;11866;40313;2007
AT1;AT13;AT130;00000;00000000;2;DEU;1048;1076;1811;735;-28;325;353;1837;2007
AT1;AT13;AT130;00000;00000000;2;POL;890;970;1584;614;-80;140;220;1992;2007
