NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_0_14;POP_15_29;POP_30_44;POP_45_59;POP_60_74;POP_75;POP_TOTAL;REF_DATE
AT2;AT22;AT225;610;Leibnitz;61039;Spielfeld;134;173;210;218;162;67;964;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61040;Stocking;215;231;336;335;224;114;1455;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61041;Straß in Steiermark;259;310;403;371;273;136;1752;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61042;Sulztal an der Weinstraße;16;20;35;31;22;10;134;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61043;Tillmitsch;408;572;717;831;459;172;3159;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61044;Vogau;156;213;242;273;143;87;1114;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61045;Wagna;739;946;1190;1252;818;415;5360;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61046;Weitendorf;226;274;324;352;214;134;1524;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61047;Wildon;366;465;563;548;410;213;2565;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61048;Wolfsberg im Schwarzautal;100;145;172;187;114;80;798;01.01.2012
AT2;AT22;AT223;611;Leoben;61101;Eisenerz;375;535;660;1099;1235;898;4802;01.01.2012
AT2;AT22;AT223;611;Leoben;61104;Hieflau;63;78;125;177;200;126;769;01.01.2012
AT2;AT22;AT223;611;Leoben;61105;Kalwang;147;160;219;253;194;109;1082;01.01.2012
AT2;AT22;AT223;611;Leoben;61106;Kammern im Liesingtal;227;273;335;367;275;177;1654;01.01.2012
AT2;AT22;AT223;611;Leoben;61107;Kraubath an der Mur;150;184;266;325;218;145;1288;01.01.2012
AT2;AT22;AT223;611;Leoben;61108;Leoben;2756;4859;4509;5403;4372;2668;24567;01.01.2012
AT2;AT22;AT223;611;Leoben;61109;Mautern in Steiermark;212;295;313;444;298;254;1816;01.01.2012
AT2;AT22;AT223;611;Leoben;61110;Niklasdorf;332;386;478;583;486;281;2546;01.01.2012
AT2;AT22;AT223;611;Leoben;61111;Proleb;168;233;316;408;298;155;1578;01.01.2012
AT2;AT22;AT223;611;Leoben;61112;Radmer;58;93;102;166;128;108;655;01.01.2012
AT2;AT22;AT223;611;Leoben;61113;Sankt Michael in Obersteiermark;389;460;616;734;526;345;3070;01.01.2012
AT2;AT22;AT223;611;Leoben;61114;Sankt Peter-Freienstein;320;342;477;546;424;298;2407;01.01.2012
AT2;AT22;AT223;611;Leoben;61115;Sankt Stefan ob Leoben;253;302;370;456;360;231;1972;01.01.2012
AT2;AT22;AT223;611;Leoben;61116;Traboch;164;234;281;365;229;114;1387;01.01.2012
AT2;AT22;AT223;611;Leoben;61118;Vordernberg;78;129;160;288;237;162;1054;01.01.2012
AT2;AT22;AT223;611;Leoben;61119;Wald am Schoberpaß;80;106;110;147;122;67;632;01.01.2012
AT2;AT22;AT223;611;Leoben;61120;Trofaiach;1390;1643;2121;2605;2254;1294;11307;01.01.2012
AT2;AT22;AT222;612;Liezen;61201;Admont;335;446;493;572;444;235;2525;01.01.2012
AT2;AT22;AT222;612;Liezen;61202;Aich;174;183;190;201;113;65;926;01.01.2012
AT2;AT22;AT222;612;Liezen;61203;Aigen im Ennstal;380;442;496;634;409;209;2570;01.01.2012
AT2;AT22;AT222;612;Liezen;61204;Altaussee;212;281;304;421;385;174;1777;01.01.2012
AT2;AT22;AT222;612;Liezen;61205;Altenmarkt bei Sankt Gallen;120;138;154;198;152;102;864;01.01.2012
AT2;AT22;AT222;612;Liezen;61206;Ardning;150;179;239;311;199;107;1185;01.01.2012
AT2;AT22;AT222;612;Liezen;61207;Bad Aussee;594;733;882;1097;974;602;4882;01.01.2012
AT2;AT22;AT222;612;Liezen;61208;Donnersbach;173;202;229;252;148;95;1099;01.01.2012
AT2;AT22;AT222;612;Liezen;61209;Donnersbachwald;43;53;67;71;68;23;325;01.01.2012
AT2;AT22;AT222;612;Liezen;61210;Gaishorn am See;118;170;189;256;168;108;1009;01.01.2012
AT2;AT22;AT222;612;Liezen;61211;Gams bei Hieflau;68;74;117;129;115;66;569;01.01.2012
AT2;AT22;AT222;612;Liezen;61212;Gössenberg;53;54;49;67;36;16;275;01.01.2012
AT2;AT22;AT222;612;Liezen;61213;Gröbming;457;556;578;585;435;229;2840;01.01.2012
