NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;SUM_ANKUENFTE;SUM_UEBERNACHTUNGEN;YEAR
AT2;AT22;AT224;623;Südoststeiermark;62326;Halbenrain;3004;7940;2012
AT2;AT22;AT224;623;Südoststeiermark;62327;Hatzendorf;1826;4648;2012
AT2;AT22;AT224;623;Südoststeiermark;62328;Hof bei Straden;2085;5984;2012
AT2;AT22;AT224;623;Südoststeiermark;62329;Hohenbrugg-Weinberg;1226;5164;2012
AT2;AT22;AT224;623;Südoststeiermark;62332;Kapfenstein;2955;6449;2012
AT2;AT22;AT224;623;Südoststeiermark;62334;Kirchberg an der Raab;967;4519;2012
AT2;AT22;AT224;623;Südoststeiermark;62335;Klöch;7451;22574;2012
AT2;AT22;AT224;623;Südoststeiermark;62342;Merkendorf;1856;6052;2012
AT2;AT22;AT224;623;Südoststeiermark;62346;Mureck;5625;14606;2012
AT2;AT22;AT224;623;Südoststeiermark;62357;Radkersburg Umgebung;21806;77513;2012
AT2;AT22;AT224;623;Südoststeiermark;62360;Riegersburg;14895;25953;2012
AT2;AT22;AT224;623;Südoststeiermark;62361;Sankt Anna am Aigen;2651;7048;2012
AT2;AT22;AT224;623;Südoststeiermark;62363;Sankt Stefan im Rosental;1124;3463;2012
AT2;AT22;AT224;623;Südoststeiermark;62366;Straden;1856;4329;2012
AT2;AT22;AT224;623;Südoststeiermark;62368;Tieschen;5599;14603;2012
AT2;AT22;AT224;623;Südoststeiermark;62369;Trautmannsdorf in Oststeiermark;439;1614;2012
AT2;AT22;AT224;623;Südoststeiermark;62372;Unterlamm;13078;33019;2012
