Herkunftsgebiet (Österreichisches Bundesland,Ausland) in Wien gemeldeter Personen, nach Geschlecht und Wiener Zählbezirk ;;;;;;;;;;;;;;;;;;
Place of Birth (Austrian Provinces, Foreign) of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;BORN_AT13;BORN_AT11;BORN_AT12;BORN_AT21;BORN_AT22;BORN_AT31;BORN_AT32;BORN_AT33;BORN_AT34;BORN_AT_UNCLASSIFIED;FOREIGN_BORN;REF_DATE
AT1;AT13;AT130;91501;1504;2;3698;1293;72;281;37;62;103;33;15;16;3;1783;20110101
AT1;AT13;AT130;91501;1505;2;5641;2306;135;518;88;132;130;48;52;12;11;2209;20110101
AT1;AT13;AT130;91501;1506;2;7052;2560;133;583;74;157;183;43;39;37;6;3237;20110101
AT1;AT13;AT130;91501;1507;2;4487;2211;110;450;44;99;89;19;20;8;11;1426;20110101
AT1;AT13;AT130;91501;1599;2;27;2;0;0;0;0;1;0;1;0;0;23;20110101
AT1;AT13;AT130;91601;1601;2;6883;2329;123;612;110;153;277;88;59;44;13;3075;20110101
AT1;AT13;AT130;91601;1602;2;4008;1244;59;249;43;73;100;39;45;25;3;2128;20110101
AT1;AT13;AT130;91601;1603;2;6273;3041;123;610;65;152;111;39;32;18;7;2075;20110101
AT1;AT13;AT130;91601;1604;2;4191;1904;92;419;64;104;118;38;28;19;7;1398;20110101
AT1;AT13;AT130;91601;1605;2;7916;3502;155;692;121;201;229;50;27;29;7;2903;20110101
AT1;AT13;AT130;91601;1606;2;5305;2789;99;455;62;106;110;31;38;10;8;1597;20110101
AT1;AT13;AT130;91601;1607;2;4935;2455;100;518;45;129;107;32;27;16;8;1498;20110101
AT1;AT13;AT130;91601;1608;2;1683;1064;27;221;20;42;26;10;5;3;2;263;20110101
AT1;AT13;AT130;91601;1609;2;2799;1818;50;236;42;78;97;27;25;10;3;413;20110101
AT1;AT13;AT130;91601;1610;2;5042;1623;71;326;52;89;133;34;18;23;5;2668;20110101
AT1;AT13;AT130;91601;1699;2;253;188;2;17;3;10;8;0;0;1;0;24;20110101
AT1;AT13;AT130;91701;1701;2;5285;2076;76;452;91;148;201;50;38;35;6;2112;20110101
AT1;AT13;AT130;91701;1702;2;6989;2728;137;615;125;165;251;58;62;37;9;2802;20110101
AT1;AT13;AT130;91701;1703;2;8698;3835;156;809;110;196;240;63;57;35;11;3186;20110101
AT1;AT13;AT130;91701;1704;2;2079;1282;37;193;41;56;62;10;20;8;1;369;20110101
AT1;AT13;AT130;91701;1705;2;3126;1927;29;277;43;73;102;24;21;12;3;615;20110101
AT1;AT13;AT130;91701;1706;2;1281;732;15;94;17;26;37;16;13;6;3;322;20110101
AT1;AT13;AT130;91701;1799;2;53;35;1;6;1;1;0;1;0;0;0;8;20110101
AT1;AT13;AT130;91801;1801;2;1148;617;18;62;29;39;42;12;10;4;0;315;20110101
AT1;AT13;AT130;91801;1802;2;7499;3345;106;657;164;262;417;115;85;57;11;2280;20110101
