Gebäude in Wien, 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buildings in Vienna, 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE_2;SUB_DISTRICT_CODE_4;DISTRICT_CODE;SUB_DISTRICT_CODE;OBJ_TYP_1WOHN;OBJ_TYP_2WOHN;OBJ_TYP_3WOHN;OBJ_TYP_GEMEIN;OBJ_TYP_GEWERBL;OBJ_WSA_MITHWS;OBJ_WSA_OHNEHWS;OBJ_ANZWHG_KEINE;OBJ_ANZWHG_1;OBJ_ANZWHG_2;OBJ_ANZWHG_3BIS5;OBJ_ANZWHG_6BIS10;OBJ_ANZWHG_11BIS20;OBJ_ANZWHG_21MEHR;OBJ_EIGENT_PRIVAT;OBJ_EIGENT_OEFFENTL;OBJ_EIGENT_GEMEINN;OBJ_EIGENT_SONSTIGE;OBJ_FLNETTO_BIS199;OBJ_FLNETTO_200BIS299;OBJ_FLNETTO_300BIS499;OBJ_FLNETTO_500BIS999;OBJ_FLNETTO_1000BIS;OBJ_ANZGESCHO_1;OBJ_ANZGESCHO_2;OBJ_ANZGESCHO_3;OBJ_ANZGESCHO_4;OBJ_ANZGESCHO_5;OBJ_ANZGESCHO_6BIS10;OBJ_ANZGESCHO_11BIS;OBJ_BAUP_BIS1918;OBJ_BAUP_1919BIS1944;OBJ_BAUP_1945BIS1960;OBJ_BAUP_1961BIS1970;OBJ_BAUP_1971BIS1980;OBJ_BAUP_1981BIS1990;OBJ_BAUP_1991BIS2000;OBJ_BAUP_2001BIS
AT1;AT13;AT130;08;0802;90801;9080102;11;8;463;11;59;512;40;32;19;15;42;148;209;87;401;44;11;96;15;17;35;171;314;7;25;36;130;132;220;2;433;12;15;23;24;20;10;15
AT1;AT13;AT130;08;0803;90801;9080103;4;2;291;3;50;305;45;42;9;3;19;40;157;80;234;25;11;80;34;8;24;82;202;32;7;21;39;86;165;0;240;19;27;12;20;11;10;11
AT1;AT13;AT130;09;0901;90901;9090101;9;5;320;4;56;339;55;46;14;7;14;55;171;87;213;106;12;63;22;9;27;144;192;28;22;10;50;85;198;1;224;42;26;33;19;22;12;16
AT1;AT13;AT130;09;0902;90901;9090102;0;2;386;9;30;402;25;25;5;3;12;62;222;98;286;60;17;64;8;4;22;116;277;6;4;8;66;139;204;0;331;40;17;5;5;13;8;8
AT1;AT13;AT130;09;0903;90901;9090103;1;1;162;3;61;170;58;51;5;4;7;35;89;37;123;45;15;45;7;4;7;73;137;23;11;7;39;61;85;2;126;29;25;8;6;9;14;11
AT1;AT13;AT130;09;0904;90901;9090104;0;0;378;7;72;393;64;59;8;4;15;90;195;86;313;50;9;85;12;7;27;151;260;37;17;15;81;128;179;0;352;20;13;18;15;10;22;7
AT1;AT13;AT130;09;0905;90901;9090105;4;5;218;4;40;239;32;24;11;7;19;72;100;38;157;27;2;85;9;4;7;72;179;14;6;12;45;83;111;0;224;8;13;3;4;5;6;8
AT1;AT13;AT130;09;0906;90901;9090106;0;0;91;1;41;96;37;26;11;0;9;30;47;10;68;33;1;31;4;0;4;37;88;6;4;15;18;34;56;0;112;4;3;2;1;3;1;7
AT1;AT13;AT130;10;1001;91001;9100101;1;0;18;0;16;19;16;15;2;0;1;0;7;10;15;9;4;7;5;1;2;7;20;10;2;1;1;6;15;0;8;2;3;3;2;2;2;13
AT1;AT13;AT130;10;1002;91001;9100102;17;8;542;6;57;582;48;44;24;10;15;74;284;179;315;248;32;35;32;27;71;243;257;28;37;31;143;103;287;1;170;125;171;45;17;70;16;16
AT1;AT13;AT130;10;1003;91001;9100103;26;2;214;1;73;239;77;57;37;4;7;41;103;67;152;102;33;29;31;3;18;137;127;63;25;29;37;56;106;0;81;10;86;43;19;36;14;27
AT1;AT13;AT130;10;1004;91001;9100104;10;6;295;1;137;320;129;112;22;8;19;79;145;64;347;52;14;36;92;22;45;155;135;81;28;57;118;54;111;0;248;47;52;44;12;23;12;11
AT1;AT13;AT130;10;1005;91001;9100105;24;11;453;1;51;498;42;30;37;12;29;83;181;168;342;68;77;53;40;32;76;160;232;40;45;45;132;74;202;2;271;59;37;21;48;43;29;32
AT1;AT13;AT130;10;1006;91001;9100106;13;2;299;3;55;319;53;34;25;5;10;42;131;125;245;61;24;42;17;8;32;132;183;23;24;27;99;62;135;2;218;32;25;36;18;14;17;12
AT1;AT13;AT130;10;1007;91001;9100107;9;3;292;1;31;308;28;17;17;6;9;21;135;131;169;48;96;23;12;7;27;78;212;23;12;16;23;48;210;4;64;27;39;105;32;15;26;28
AT1;AT13;AT130;10;1008;91001;9100108;0;4;197;1;28;207;23;18;5;7;2;16;67;115;127;53;34;16;11;2;10;62;145;13;12;6;29;48;120;2;79;46;11;35;19;11;7;22
AT1;AT13;AT130;10;1009;91001;9100109;1;0;138;3;36;140;38;35;4;0;3;66;51;19;23;134;6;15;9;13;49;63;44;22;6;61;35;24;29;1;15;80;30;8;2;19;12;12
AT1;AT13;AT130;10;1010;91001;9100110;6;1;464;2;33;482;24;19;14;4;2;18;321;128;75;291;124;16;10;4;15;273;204;22;10;11;43;120;297;3;35;108;123;168;32;17;9;14
AT1;AT13;AT130;10;1011;91001;9100111;802;16;189;2;45;751;303;39;808;16;5;16;82;88;732;236;71;15;839;11;4;113;87;589;250;36;77;37;65;0;3;285;43;133;64;315;96;115
AT1;AT13;AT130;10;1012;91001;9100112;0;0;23;0;44;25;42;40;4;0;0;0;5;18;15;11;12;29;12;1;2;6;46;22;14;1;2;5;20;3;2;2;2;5;3;6;15;32
AT1;AT13;AT130;10;1013;91001;9100113;662;43;270;0;15;767;223;9;666;44;80;94;87;10;379;452;154;5;711;71;90;99;19;357;421;60;94;41;16;1;3;357;228;167;150;36;11;38
AT1;AT13;AT130;10;1014;91001;9100114;713;13;176;0;17;860;59;13;717;13;15;130;31;0;69;799;51;0;730;6;116;61;6;721;22;78;72;21;5;0;2;2;771;40;34;49;19;2
AT1;AT13;AT130;10;1015;91001;9100115;855;19;111;1;64;589;461;56;861;19;4;10;48;52;873;64;93;20;895;13;24;40;78;762;162;17;29;14;66;0;67;156;155;144;97;101;121;209
AT1;AT13;AT130;10;1016;91001;9100116;1737;44;132;1;51;1424;541;42;1743;45;17;40;60;18;1196;340;404;25;1751;62;26;106;20;1142;669;66;56;29;3;0;5;514;370;277;184;286;146;183
AT1;AT13;AT130;10;1017;91001;9100117;273;13;15;0;20;271;50;11;278;15;11;4;1;1;227;4;69;21;279;19;9;10;4;154;159;6;1;0;1;0;37;24;14;68;32;86;31;29
AT1;AT13;AT130;10;1018;91001;9100118;420;40;138;2;76;573;103;44;446;45;43;35;44;19;552;32;64;28;453;55;47;65;56;356;200;64;28;17;11;0;94;55;71;77;40;31;136;172
AT1;AT13;AT130;10;1019;91001;9100119;693;43;112;1;117;746;220;95;706;49;57;47;10;2;855;39;27;45;745;71;67;36;47;640;246;54;18;5;3;0;78;71;114;164;54;117;238;130
AT1;AT13;AT130;10;1020;91001;9100120;0;0;245;1;20;246;20;16;3;1;1;46;110;89;2;258;0;6;1;1;1;105;158;12;3;3;90;14;138;6;0;1;1;152;108;1;2;1
AT1;AT13;AT130;10;1021;91001;9100121;262;7;248;1;31;398;151;25;264;7;20;149;70;14;271;204;65;9;280;5;56;147;61;242;46;112;125;14;10;0;2;1;4;23;41;271;164;43
AT1;AT13;AT130;10;1022;91001;9100122;0;1;202;3;42;206;42;30;3;4;16;30;93;72;191;11;17;29;7;11;24;72;134;13;9;31;49;31;114;1;114;9;34;49;11;10;8;13
AT1;AT13;AT130;10;1023;91001;9100123;20;2;243;5;25;272;23;19;25;2;7;29;118;95;135;121;18;21;26;7;11;132;119;30;21;6;68;39;129;2;55;56;49;74;5;8;9;39
AT1;AT13;AT130;11;1101;91101;9110101;13;3;15;1;40;28;44;33;13;4;1;1;0;20;42;15;9;6;24;2;1;8;37;35;9;2;2;2;19;3;7;5;9;1;3;10;7;30
AT1;AT13;AT130;11;1102;91101;9110102;42;16;451;3;91;503;100;64;58;19;19;67;294;82;262;245;54;42;72;21;48;290;172;102;44;35;118;115;189;0;141;80;117;108;62;40;20;35
AT1;AT13;AT130;11;1103;91101;9110103;90;11;504;2;111;547;171;94;99;17;15;77;301;115;384;191;93;50;156;20;42;270;230;157;45;43;118;103;252;0;152;109;161;95;46;61;37;57
AT1;AT13;AT130;11;1104;91101;9110104;97;4;98;0;59;146;112;49;105;6;2;5;49;42;117;86;32;23;108;9;11;44;86;129;20;7;24;16;55;7;32;20;69;27;18;41;27;24
